example_id,format,correct,error,input_token_count,question_category,question_difficulty,source_dataset,query,gold_label,prediction,failure_flip_example
0,html,1,,11462,Simple Lookup,Easy,wikitq,what element is after radium?,['Actinium'],Actinium,0
0,latex,1,,3173,Simple Lookup,Easy,wikitq,what element is after radium?,['Actinium'],Actinium,0
0,markdown,1,,4022,Simple Lookup,Easy,wikitq,what element is after radium?,['Actinium'],Actinium,0
1,html,1,,936,Simple Lookup,Easy,hybridqa,FC Dallas had their last qualification in a year that the league had the inaugural edition of what ?,['Leagues Cup'],never ( Leagues Cup began in 2019 ),0
1,latex,1,,494,Simple Lookup,Easy,hybridqa,FC Dallas had their last qualification in a year that the league had the inaugural edition of what ?,['Leagues Cup'],never ( Leagues Cup began in 2019 ),0
1,markdown,1,,468,Simple Lookup,Easy,hybridqa,FC Dallas had their last qualification in a year that the league had the inaugural edition of what ?,['Leagues Cup'],never ( Leagues Cup began in 2019 ),0
2,html,1,,642,Simple Lookup,Easy,hybridqa,"what year was the third season of the UEFA Europa League , Europe 's secondary club football tournament organised by UEFA ?",['2011'],2011,0
2,latex,1,,367,Simple Lookup,Easy,hybridqa,"what year was the third season of the UEFA Europa League , Europe 's secondary club football tournament organised by UEFA ?",['2011'],2011,0
2,markdown,1,,349,Simple Lookup,Easy,hybridqa,"what year was the third season of the UEFA Europa League , Europe 's secondary club football tournament organised by UEFA ?",['2011'],2011,0
3,html,1,,706,Simple Lookup,Easy,wikitq,what is the gene function of cytoplasmich (tyrosine kinases?),"['mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival']","mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival",0
3,latex,1,,495,Simple Lookup,Easy,wikitq,what is the gene function of cytoplasmich (tyrosine kinases?),"['mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival']","mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival",0
3,markdown,1,,525,Simple Lookup,Easy,wikitq,what is the gene function of cytoplasmich (tyrosine kinases?),"['mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival']","mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival",0
4,html,1,,879,Simple Lookup,Easy,sqa,which country is phil mickelson from?,['United States'],United States,0
4,latex,1,,485,Simple Lookup,Easy,sqa,which country is phil mickelson from?,['United States'],United States,0
4,markdown,1,,481,Simple Lookup,Easy,sqa,which country is phil mickelson from?,['United States'],"thought
United States",0
5,html,1,,728,Simple Lookup,Easy,sqa,which of these countries was ranked at position 4?,['Thailand'],Thailand,0
5,latex,1,,304,Simple Lookup,Easy,sqa,which of these countries was ranked at position 4?,['Thailand'],Thailand,0
5,markdown,1,,260,Simple Lookup,Easy,sqa,which of these countries was ranked at position 4?,['Thailand'],Thailand,0
6,html,1,,1953,Simple Lookup,Easy,sqa,how many points did patrick carpentier score?,['22'],"thought
22",0
6,latex,1,,777,Simple Lookup,Easy,sqa,how many points did patrick carpentier score?,['22'],22,0
6,markdown,1,,809,Simple Lookup,Easy,sqa,how many points did patrick carpentier score?,['22'],22,0
7,html,0,,635,Simple Lookup,Easy,hybridqa,What is the potential application of the emerging technology that Einstein made unpublished calculations about in 1912 ?,['Deep space observation'],The provided table does not contain information regarding calculations made by Einstein in 1912.,0
7,latex,0,,354,Simple Lookup,Easy,hybridqa,What is the potential application of the emerging technology that Einstein made unpublished calculations about in 1912 ?,['Deep space observation'],The provided table does not contain information regarding calculations made by Einstein in 1912.,0
7,markdown,0,,389,Simple Lookup,Easy,hybridqa,What is the potential application of the emerging technology that Einstein made unpublished calculations about in 1912 ?,['Deep space observation'],The provided table does not contain information regarding calculations made by Einstein in 1912.,0
8,html,0,,1104,Simple Lookup,Easy,wikitq,what is the total number of winning tickets?,['565'],"1,134",1
8,latex,1,,574,Simple Lookup,Easy,wikitq,what is the total number of winning tickets?,['565'],565,1
8,markdown,1,,576,Simple Lookup,Easy,wikitq,what is the total number of winning tickets?,['565'],565,1
