example_id,format_pair,mean_distance_all_saved_vectors,mean_distance_late_vectors,failure_flip_example,all_correct,all_wrong,question_category,question_difficulty
0,html-latex,0.09436468482017517,0.02494528889656067,0,1,0,Simple Lookup,Easy
0,html-markdown,0.09109310507774353,0.02132144570350647,0,1,0,Simple Lookup,Easy
0,markdown-latex,0.07423460185527801,0.007327631115913391,0,1,0,Simple Lookup,Easy
1,html-latex,0.058638262748718264,0.03488898277282715,0,1,0,Simple Lookup,Easy
1,html-markdown,0.06224768161773682,0.03345499932765961,0,1,0,Simple Lookup,Easy
1,markdown-latex,0.022289752960205078,0.0048040300607681274,0,1,0,Simple Lookup,Easy
2,html-latex,0.049665576219558714,0.0260351300239563,0,1,0,Simple Lookup,Easy
2,html-markdown,0.051996320486068726,0.022608742117881775,0,1,0,Simple Lookup,Easy
2,markdown-latex,0.024481755495071412,0.0105438232421875,0,1,0,Simple Lookup,Easy
3,html-latex,0.04139299392700195,0.02167777717113495,0,1,0,Simple Lookup,Easy
3,html-markdown,0.04875626564025879,0.015880420804023743,0,1,0,Simple Lookup,Easy
3,markdown-latex,0.0326789379119873,0.007838726043701172,0,1,0,Simple Lookup,Easy
4,html-latex,0.047196733951568606,0.020537450909614563,0,1,0,Simple Lookup,Easy
4,html-markdown,0.1867519199848175,0.15209728479385376,0,1,0,Simple Lookup,Easy
4,markdown-latex,0.1576237201690674,0.14097480475902557,0,1,0,Simple Lookup,Easy
5,html-latex,0.07491475939750672,0.026127681136131287,0,1,0,Simple Lookup,Easy
5,html-markdown,0.07906076312065125,0.02157445251941681,0,1,0,Simple Lookup,Easy
5,markdown-latex,0.056972396373748777,0.011839613318443298,0,1,0,Simple Lookup,Easy
6,html-latex,0.22527307868003846,0.1864311397075653,0,1,0,Simple Lookup,Easy
6,html-markdown,0.22571628987789155,0.18742047995328903,0,1,0,Simple Lookup,Easy
6,markdown-latex,0.04277362823486328,0.006770715117454529,0,1,0,Simple Lookup,Easy
7,html-latex,0.06921966671943665,0.0487871915102005,0,0,1,Simple Lookup,Easy
7,html-markdown,0.07890380024909974,0.034829556941986084,0,0,1,Simple Lookup,Easy
7,markdown-latex,0.055805474519729614,0.013205915689468384,0,0,1,Simple Lookup,Easy
8,html-latex,0.07840803265571594,0.09317825734615326,1,0,0,Simple Lookup,Easy
8,html-markdown,0.08557205200195313,0.09716524183750153,1,0,0,Simple Lookup,Easy
8,markdown-latex,0.0247452974319458,0.01022288203239441,1,0,0,Simple Lookup,Easy
9,html-latex,0.04629709124565125,0.030283823609352112,0,1,0,Simple Lookup,Easy
9,html-markdown,0.04344601035118103,0.024027571082115173,0,1,0,Simple Lookup,Easy
9,markdown-latex,0.019510042667388917,0.004997923970222473,0,1,0,Simple Lookup,Easy
10,html-latex,0.09103529155254364,0.03862956166267395,0,1,0,Simple Lookup,Easy
10,html-markdown,0.08613678216934204,0.032521843910217285,0,1,0,Simple Lookup,Easy
10,markdown-latex,0.054219949245452884,0.011123523116111755,0,1,0,Simple Lookup,Easy
11,html-latex,0.07930017709732055,0.06171342730522156,1,0,0,Simple Lookup,Easy
11,html-markdown,0.07187607884407043,0.0393071174621582,1,0,0,Simple Lookup,Easy
11,markdown-latex,0.03567428588867187,0.01701928675174713,1,0,0,Simple Lookup,Easy
12,html-latex,0.10260622203350067,0.058796122670173645,1,0,0,Simple Lookup,Easy
